"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:18:00.45",2314572,-1.36325,-3.7885,0.0535,-0.2439575,57,17.90786,49.80443,3.81373,3.224638,97.89862,19.12722,219.0971
"2023-05-13 21:18:00.5",2314573,-2.95725,-2.1265,1.069,0.1748657,58,17.90338,49.75938,3.803354,3.222042,97.89459,19.12722,220.4104
"2023-05-13 21:18:00.55",2314574,-1.9065,-4.567,0.41375,-0.2340393,59,17.90718,49.74284,3.816324,3.237619,97.91117,19.13543,218.7688
"2023-05-13 21:18:00.6",2314575,-1.46375,-5.7785,0.379,-0.3016357,60,17.91069,49.61477,3.802183,3.241639,97.89483,19.13543,218.5499
"2023-05-13 21:18:00.65",2314576,-0.9950001,-5.418,0.45475,-0.3675232,61,17.91766,49.65789,3.81373,3.240216,97.90289,19.16006,220.5199
"2023-05-13 21:18:00.7",2314577,-1.11825,-5.37475,1.014,-0.293396,62,17.91377,49.69239,3.807245,3.24411,97.88934,19.14364,222.9275
"2023-05-13 21:18:00.75",2314578,-2.34775,-4.69625,0.7492501,0.1303406,63,17.91861,49.74731,3.812433,3.228532,97.88691,19.14364,222.4898
"2023-05-13 21:18:00.8",2314579,-1.59375,-4.92025,0.75425,-0.2357178,0,17.91575,49.87508,3.817621,3.218147,97.89155,19.14364,222.2709
"2023-05-13 21:18:00.85",2314580,-1.81775,-5.1995,0.7212501,-0.210968,1,17.91809,49.84357,3.803354,3.227234,97.90105,19.12722,222.7086
"2023-05-13 21:18:00.9",2314581,-2.44425,-4.9015,0.8650001,-0.04614258,2,17.91258,49.79456,3.826699,3.210358,97.89801,19.12722,217.6744
